Date,Open,High,Low,Close,Adj Close,Volume
27-05-2016,715,716.6,711.1,712.24,712.24,2249200
31-05-2016,712.33,724.23,711.32,722.79,722.79,3618300
01-06-2016,720.9,726.43,718.22,719.44,719.44,3263100
02-06-2016,720.97,728.28,715.5,728.24,728.24,3026600
03-06-2016,726.74,727,718.43,725.54,725.54,3367300
06-06-2016,726.5,731.5,724.42,726.73,726.73,2704800
07-06-2016,729.89,730,720.55,723.74,723.74,2732500
08-06-2016,726.4,729.42,721.6,726.64,726.64,2223400
09-06-2016,723.1,728.91,722.3,727.65,727.65,2170300
10-06-2016,722.35,724.98,714.21,717.91,717.91,3425700
13-06-2016,714.01,721.99,711.16,715.24,715.24,3352200
14-06-2016,712.33,720.81,712.27,719.3,719.3,2506900
15-06-2016,722,722.56,713.35,714.26,714.26,2709400
16-06-2016,712.05,718,705.3,717.51,717.51,3098000
17-06-2016,718.19,718.2,699.18,706.39,706.39,5897800
20-06-2016,713.5,721.31,710.81,714.01,714.01,3677200
21-06-2016,715.72,718.4,712.72,715.82,715.82,2137500
22-06-2016,716.58,717,707.57,710.6,710.6,2260500
23-06-2016,715.5,722.12,712.5,722.08,722.08,2825000
24-06-2016,693,712.53,692.2,698.96,698.96,7632500
27-06-2016,692.01,696.82,682.12,691.36,691.36,5568000
28-06-2016,700,708,698.17,707.95,707.95,4037000
29-06-2016,715.75,719.5,713.54,715.6,715.6,3070100
30-06-2016,717.2,719.37,712.54,715.62,715.62,2855100
01-07-2016,717.32,728,716.54,725.68,725.68,2920400
05-07-2016,722.8,729.56,719.61,728.1,728.1,2431400
06-07-2016,725.71,737.77,722.58,737.61,737.61,3938200
07-07-2016,739.33,739.55,731.63,736.57,736.57,2945800
08-07-2016,740.14,746.1,738,745.81,745.81,3429200
11-07-2016,750,755.9,747,753.78,753.78,3195300
12-07-2016,756.86,757.34,740.33,748.21,748.21,5623700
13-07-2016,746.76,756.87,741.25,742.63,742.63,4142300
14-07-2016,748.86,749.04,739.02,741.2,741.2,2390500
15-07-2016,746.55,746.55,734.05,735.44,735.44,3121400
18-07-2016,735.49,741.6,728.72,736.07,736.07,2954900
19-07-2016,732.5,743.33,732.31,739.95,739.95,2216800
20-07-2016,744,746.25,740.7,745.72,745.72,2214000
21-07-2016,747.5,749.36,742.79,744.43,744.43,2317100
22-07-2016,747.79,751.28,743.53,744.86,744.86,2277700
25-07-2016,746.55,748.5,735.35,739.61,739.61,2679300
26-07-2016,742.71,743.13,732.75,735.59,735.59,2529700
27-07-2016,737.97,740.94,733.86,736.67,736.67,2913100
28-07-2016,745.98,753.36,739.7,752.61,752.61,7617600
29-07-2016,765,766,755,758.81,758.81,6777100
01-08-2016,759.87,770.5,757.06,767.74,767.74,3578200
02-08-2016,763.81,765.01,757.02,760.58,760.58,3603300
03-08-2016,757.06,758.89,752.25,754.64,754.64,3581500
04-08-2016,753.7,765,750.35,760.77,760.77,3178200
05-08-2016,764.81,768.47,763.09,765.98,765.98,2704400
08-08-2016,766.81,767,761.02,766.56,766.56,1986300
09-08-2016,767.39,772.6,766.9,768.31,768.31,1876100
10-08-2016,769.8,772.1,766.19,768.56,768.56,1604300
11-08-2016,769.94,773.75,769.12,771.24,771.24,2019700
12-08-2016,768.46,773.15,768.42,772.56,772.56,1563300
15-08-2016,771.9,772.04,767.71,768.49,768.49,2118500
16-08-2016,768.62,768.73,763.82,764.04,764.04,1604600
17-08-2016,764.41,765.22,759.2,764.63,764.63,1891100
18-08-2016,764,765.17,760.6,764.46,764.46,1458800
19-08-2016,761.9,762.49,756.89,757.31,757.31,2343200
22-08-2016,757.5,759.85,752.1,759.48,759.48,1679300
23-08-2016,763.31,764.7,761,762.45,762.45,1524100
24-08-2016,763,763.41,755.36,757.25,757.25,1744100
25-08-2016,756,760.56,754.74,759.22,759.22,1623000
26-08-2016,760.05,770,759.8,769,769,2776800
29-08-2016,768.72,774.98,768.6,771.29,771.29,2198600
30-08-2016,771.05,771.84,765.56,767.58,767.58,1709200
31-08-2016,766.6,769.64,764,769.16,769.16,1633800
01-09-2016,770.9,772.04,766.75,770.62,770.62,1792300
02-09-2016,774.11,776,771.7,772.44,772.44,2181800
06-09-2016,774.04,789.48,770.22,788.87,788.87,3719800
07-09-2016,789.53,790.79,784.33,784.48,784.48,2424600
08-09-2016,783.89,786.5,781.44,784.06,784.06,2030500
09-09-2016,779.36,781,760.11,760.14,760.14,4257300
12-09-2016,757.35,772.66,756,771.49,771.49,3124700
13-09-2016,768.77,769.89,759.05,761.01,761.01,3117200
14-09-2016,762.2,767.5,758.85,761.09,761.09,2523000
15-09-2016,762,770.87,757.58,769.69,769.69,3034000
16-09-2016,773.28,780.46,771.66,778.52,778.52,5499200
19-09-2016,779.97,781.94,771,775.1,775.1,2297200
20-09-2016,776,781.37,776,780.22,780.22,1937200
21-09-2016,783.25,790.69,779.01,789.74,789.74,2718600
22-09-2016,794.27,805.89,794.27,804.7,804.7,4078900
23-09-2016,803.13,807.75,802.12,805.75,805.75,2353500
26-09-2016,801.8,805.93,797.15,799.16,799.16,2651400
27-09-2016,801.85,816.64,801.11,816.11,816.11,3819600
28-09-2016,818,830.14,817.03,828.72,828.72,4422100
